trial,num_layers,num_filters,kernel_size,dropout_rate,epochs_per_trial,batch_size,lr,image_size,best_trial_val_loss,best_trial_val_micro_f1,best_trial_val_macro_f1,trial_seconds
1,4,128,3,0.5,1,64,0.0001,224,0.39163836098954163,0.035472427,0.047540467232465744,394.60150122642517
2,2,128,5,0.4,1,64,0.0001,224,0.37660511029427723,0.1476389765739441,0.1549755185842514,360.20856761932373
3,2,32,3,0.1,1,64,0.0001,224,0.37871455891401057,0.059758425,0.082849719,324.9076118469238
4,2,64,7,0.3,1,64,0.0001,224,0.37301288280162914,0.060240965,0.078856982,316.4744772911072
5,2,16,7,0.4,1,64,0.0001,224,0.39158140284430787,0.034116510301828384,0.03475529,312.9753246307373
6,2,64,5,0.2,1,64,0.0001,224,0.377966334,0.10185185074806213,0.10732609033584595,314.09740591049194
7,3,16,3,0.1,1,64,0.0001,224,0.42031964210790046,0,0,328.4051797389984
8,4,16,3,0.4,1,64,0.0001,224,0.44387877709323903,0,0,312.93514704704285
9,3,16,3,0.2,1,64,0.0001,224,0.42716333255145117,0,0,311.9476246833801
10,2,32,3,0.5,1,64,0.0001,224,0.38559195927089357,0.057142857,0.0729407,311.82220458984375
11,3,16,5,0.1,1,64,0.0001,224,0.4141730976659198,0.001318392,0.000942951,316.73192381858826
12,2,64,3,0.1,1,64,0.0001,224,0.378961932,0.10619468986988068,0.10299313068389893,317.7909309864044
13,4,32,7,0.5,1,64,0.0001,224,0.42228720594390773,0,0,316.92985105514526
14,2,16,3,0.3,1,64,0.0001,224,0.3937635247523968,0.021449463441967964,0.029660969972610474,463.61292600631714
15,3,128,7,0.4,1,64,0.0001,224,0.37654838685699354,0.1031307578086853,0.13412004709243774,364.75870656967163
16,4,16,5,0.3,1,64,0.0001,224,0.4385966966531784,0,0,342.64726662635803
17,3,128,7,0.5,1,64,0.0001,224,0.38972784476971156,0.10915706306695938,0.13207538425922394,395.00321912765503
18,4,64,7,0.1,1,64,0.0001,224,0.406222552,0.001976936,0.001412429,319.2729604244232
19,4,128,5,0.1,1,64,0.0001,224,0.40235293364695446,0.011122015304863453,0.012381157837808132,323.96712160110474
20,3,16,5,0.2,1,64,0.0001,224,0.4043445028004791,0.003947368,0.00625,318.5513086
21,3,64,5,0.1,1,64,0.0001,224,0.39070993006122773,0.076611646,0.064039364,314.1922404766083
22,4,128,5,0.5,1,64,0.0001,224,0.39789243320233064,0.003291639,0.004691553,339.77337884902954
23,2,32,7,0.1,1,64,0.0001,224,0.37820843043395574,0.11800302565097809,0.13863039016723633,334.4258131980896
24,3,64,3,0.5,1,64,0.0001,224,0.3880507352313757,0.035449564,0.041089240461587906,330.98551177978516
25,4,16,3,0.2,1,64,0.0001,224,0.4471055742879673,0,0,320.81120681762695
26,4,32,5,0.5,1,64,0.0001,224,0.4346330671276304,0,0,319.7012939453125
27,4,128,7,0.1,1,64,0.0001,224,0.4050085739500834,0.005256242,0.0037192,317.1170349121094
28,3,16,7,0.5,1,64,0.0001,224,0.4135060916753063,0.002635046,0.001880583,313.9995027
29,4,32,5,0.3,1,64,0.0001,224,0.4219155147911611,0,0,325.05133271217346
30,4,32,7,0.2,1,64,0.0001,224,0.41358222500795966,0.059645854,0.063109607,323.1942720413208
31,2,16,7,0.5,1,64,0.0001,224,0.39182951938700805,0.039718128740787506,0.043786522,305.9310567378998
32,2,128,5,0.3,1,64,0.0001,224,0.3791430133080013,0.097725876,0.10095836967229843,310.78702998161316
33,4,64,7,0.3,1,64,0.0001,224,0.4086039180512505,0,0,314.20192193984985
34,3,128,3,0.1,1,64,0.0001,224,0.3774765779379229,0.088116661,0.1328265219926834,313.7892620563507
35,2,64,7,0.5,1,64,0.0001,224,0.37968856050417976,0.14336493611335754,0.13428930938243866,313.8169529438019
36,3,64,5,0.5,1,64,0.0001,224,0.39126468873407844,0.028414594009518623,0.034339219,308.7577488422394
37,3,16,5,0.5,1,64,0.0001,224,0.4059398791444536,0.003291639,0.00524109,310.96741557121277
38,3,32,5,0.1,1,64,0.0001,224,0.4035948419826828,0.081835091,0.082754746,313.79083037376404
39,4,64,5,0.1,1,64,0.0001,224,0.3979959962939534,0.010481493547558784,0.011469938792288303,320.00747632980347
40,2,16,3,0.1,1,64,0.0001,224,0.3966750670844199,0.012446773238480091,0.018357385,323.73688673973083
